,Title,Artist,Release,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
37,Dope,BTS,2016/5/2,0.579,0.896,10,-2.781,0,0.224,0.0272,1.02E-06,0.352,0.678,153.991,4TiKZrN7gtc62SUiufpFCM,240021
38,Hold Me Tight,BTS,2016/5/2,0.636,0.799,6,-4.671,1,0.257,0.0154,3.95E-06,0.218,0.379,139.953,1WpxXAGAGpF2OoVFCytYtS,273992
39,House Of Cards - Full Length Edition,BTS,2016/5/2,0.388,0.672,9,-4.459,0,0.0474,0.351,0,0.14,0.389,103.441,7aGWDCKc6qWd9okLRgeJF8,226267
40,I Need U,BTS,2016/5/2,0.475,0.897,5,-2.383,0,0.0736,0.0184,0,0.296,0.642,78.918,7dlNGfd6Fq8xcFb4K6Glws,210577
41,Love Is Not Over - Full Length Edition,BTS,2016/5/2,0.691,0.591,4,-5.075,0,0.0685,0.121,0,0.139,0.275,105.074,6hzENpxQwAaz6Cvrok38gZ,221573
42,Run,BTS,2016/5/2,0.577,0.875,6,-2.944,0,0.0445,0.00165,0,0.0892,0.522,132.943,3SESmwaRfVQddNhwCSKQur,236334
43,Save Me,BTS,2016/5/2,0.614,0.823,1,-3.48,1,0.062,0.0269,0,0.0783,0.539,139.948,54s6sdPuMjVtdB5d5KFzTC,196506
44,Silver Spoon,BTS,2016/5/2,0.649,0.875,9,-2.88,1,0.0696,0.00128,0,0.0486,0.557,166.927,2VgPA0WnwvE2nbltxa3BHz,233185
45,FIRE-Japanese Ver.-,BTS,2016/9/7,0.651,0.714,3,-2.977,0,0.0699,0.00359,0,0.125,0.508,99.999,7oFP6ewu9e7f4Kxm0sClc8,205373
46,FOR YOU,BTS,2016/9/7,0.548,0.809,4,-4.533,1,0.185,0.44,0,0.102,0.574,165.892,4K5ZG5nvQgu9EdyPKSigKm,284587
47,Good Day,BTS,2016/9/7,0.611,0.89,6,-3.711,1,0.0451,0.0106,0,0.075,0.665,94.956,0AIQYEq4LaKB6R9WiwmSsT,267507
48,Wishing on a star,BTS,2016/9/7,0.543,0.832,8,-4.717,1,0.209,0.0168,0,0.0398,0.636,179.963,1hSYYD9WI0fuVxN0MFLVYy,271760
49,2! 3!,BTS,2016/10/10,0.446,0.928,7,-4.085,1,0.251,0.0262,0,0.103,0.611,169.906,6CVWfmWBnw3fECV2hpo6Hh,272547
50,21st Century Girl,BTS,2016/10/10,0.716,0.887,2,-3.802,1,0.0853,0.00402,0,0.0566,0.782,101.025,3ROFgxvjni5xjdOLUSTLlq,192602
51,Am I Wrong,BTS,2016/10/10,0.759,0.84,6,-5.005,1,0.0494,0.00132,2.04E-05,0.088,0.683,108.011,6FGfFv2BNsd7YCCSXi5DJ6,213080
52,Awake,BTS,2016/10/10,0.46,0.487,5,-6.586,0,0.0316,0.019,1.93E-06,0.275,0.332,72.23,1nXJcXjEiSu6RjRPNwcNuJ,226173
53,Begin,BTS,2016/10/10,0.566,0.844,9,-5.222,0,0.0444,0.00361,0.000257,0.141,0.291,131.049,6KQSeSPqBa15gMWLO1fdkk,229740
54,BTS Cypher 4,BTS,2016/10/10,0.822,0.783,1,-4.677,0,0.0813,0.00515,1.36E-05,0.0506,0.375,120.01,2CGszPNUdhMxFktGFEo2zd,294479
55,First Love,BTS,2016/10/10,0.565,0.732,8,-6.04,0,0.341,0.352,0,0.166,0.675,87.326,764muUblv56KXORB5JaHY1,189800
56,Lie,BTS,2016/10/10,0.547,0.764,6,-5.837,0,0.0319,0.00372,0,0.209,0.489,94.059,5ibSmJqmOrrZ6yInzOzOOn,215772
57,Lost,BTS,2016/10/10,0.541,0.838,0,-4.19,1,0.0552,0.00044,0,0.0602,0.454,85.024,2xptBKeEHRifWqDSpOrk8k,241787
58,Mama,BTS,2016/10/10,0.543,0.738,5,-4.843,0,0.212,0.000275,9.84E-06,0.0816,0.45,185.998,3cJqkUx4ad5fWPQg11VF45,212267
59,Reflection,BTS,2016/10/10,0.517,0.615,2,-7.989,1,0.129,0.0131,2.14E-06,0.175,0.282,148.032,4bMf2LMYUeJl1XfE04KIbw,233920
60,Stigma,BTS,2016/10/10,0.583,0.475,0,-5.556,0,0.0846,0.148,0,0.139,0.332,136.034,626lrZfNIlthgrUfjvRYrh,216063
61,피 땀 눈물,BTS,2016/10/10,0.583,0.885,0,-3.571,0,0.106,0.0244,0,0.357,0.601,92.959,1DyOhkfykPENmHb94pzQuc,217052
62,Not Today,BTS,2017/2/13,0.594,0.946,8,-3.408,1,0.126,0.00181,1.04E-06,0.923,0.665,110.024,7KlTFTpy7dXLzr2NtLkvG6,231860
63,Outro : Wings,BTS,2017/2/13,0.654,0.903,11,-3.117,0,0.121,0.00503,0,0.0875,0.659,124.988,1GwiuoyJzlEuGw0yrLuF6H,225447
64,Spring Day,BTS,2017/2/13,0.539,0.846,8,-3.192,1,0.0354,0.0063,1.68E-06,0.13,0.46,106.992,02q0ZnV2L4XByzEvWZJqBC,274097
65,Pied Piper,BTS,2017/9/18,0.583,0.712,2,-4.942,0,0.0326,0.2,0,0.268,0.776,94.051,0ffweDHrg4bZqdG4IfGYuo,245621
66,Crystal Snow,BTS,2018/4/4,0.618,0.766,3,-4.507,1,0.0323,0.117,0,0.121,0.448,113.997,6NbfFVZ01Ttvvqmcok8DxL,323360
67,Don't Leave Me,BTS,2018/4/4,0.62,0.778,8,-4.622,0,0.0724,0.116,0,0.312,0.386,147.012,3zIG0WuI5RoJsFYnErkFDU,227413
68,Let Go,BTS,2018/4/4,0.558,0.863,4,-3.53,1,0.178,0.17,0,0.289,0.388,173.908,1OqDvYVDhJyFZny7XlfIyZ,299707
69,134340,BTS,2018/5/18,0.664,0.688,11,-6.466,0,0.0543,0.153,9.14E-05,0.173,0.65,106.022,38td8VabuKlQt72Q2VnhbO,230063
70,Love Maze,BTS,2018/5/18,0.636,0.876,9,-4.652,1,0.0617,0.0487,0,0.0728,0.759,149.932,645YBsxhFPSOKxGep3uHLv,221529
71,paradise,BTS,2018/5/18,0.519,0.828,5,-5.523,1,0.365,0.214,0,0.0571,0.929,139.413,01dmH2IPkrLNWIMPNXlreE,211224
72,So What,BTS,2018/5/18,0.656,0.883,9,-4.294,0,0.0737,0.0238,0,0.0481,0.46,129.947,4CvId64YZSB0RfRdfzPIQU,281521
73,Airplane pt.2,BTS,2018/8/24,0.769,0.817,0,-4.092,0,0.0339,0.0268,9.95E-05,0.084,0.866,139.979,0xKNTDmIym4R2TfKnS4FQo,218615
74,Anpanman,BTS,2018/8/24,0.813,0.875,1,-2.92,0,0.0918,0.0237,0,0.288,0.756,99.004,01gUlvzAPiwB9Ekq9kGVCM,232966
75,Answer : Love Myself,BTS,2018/8/24,0.569,0.793,1,-3.749,1,0.0405,0.189,0,0.111,0.45,108.048,4eVkn18rN4GguUWOsR6Use,251280
76,Best Of Me,BTS,2018/8/24,0.651,0.756,8,-4.388,1,0.0762,0.0298,0,0.396,0.473,121.96,3KGEbCfnzAzFVimY9p62MN,227191
77,Dimple,BTS,2018/8/24,0.612,0.844,5,-4.694,0,0.0756,0.142,0,0.287,0.653,134.868,0DrxFkuc1mpxdbUbssLQ4d,196776
78,DNA,BTS,2018/8/24,0.599,0.774,1,-4.014,0,0.0541,0.0223,0,0.0669,0.696,129.819,6Z7m5DLNPOaPg9T6nXK0rQ,223123
